step,scf_accuracy_ry
38,3e-10
39,2.9e-10
40,1.7e-10
41,1.3e-10
42,1.2e-10
43,8.6e-11
1,0.00022503
2,0.00021232
3,0.0002037
4,0.00026268
5,0.00019509
6,5.247e-05
7,2.852e-05
8,2.446e-05
9,1.031e-05
10,9.18e-06
11,5.72e-06
12,1.92e-06
13,1.4e-06
14,1.18e-06
15,9.9e-07
16,1.12e-06
17,7.1e-07
18,3.7e-07
19,2e-07
20,1.4e-07
21,1.6e-07
22,6e-08
23,5e-08
24,5e-08
25,3e-08
26,3e-08
27,2e-08
28,9.7e-09
29,4.1e-09
30,2.7e-09
31,2.1e-09
32,1.5e-09
33,1.2e-09
34,6.7e-10
35,4e-10
36,3.4e-10
37,3.3e-10
38,4.1e-10
39,2.4e-10
40,1.4e-10
41,1.1e-10
42,8e-11
1,0.00064028
2,0.00067126
3,0.00068243
4,0.00059625
5,0.00032919
6,8.679e-05
7,8.154e-05
8,5.603e-05
9,3.55e-05
10,2.904e-05
11,1.208e-05
12,1.203e-05
13,1.066e-05
14,7.55e-06
15,4.31e-06
16,3.12e-06
17,3.29e-06
18,1.88e-06
19,1.34e-06
20,4.1e-07
21,2.8e-07
22,2.3e-07
23,2.2e-07
24,2.3e-07
25,1.2e-07
26,8e-08
27,5e-08
28,2e-08
29,1e-08
30,9e-09
31,7.2e-09
32,6.2e-09
33,6e-09
34,2e-08
35,3.3e-09
36,3e-09
37,2.4e-09
38,9.9e-10
39,6.8e-10
40,4.1e-10
41,2.8e-10
42,1.9e-10
43,1.7e-10
44,5.2e-10
45,7.8e-11
1,7.932e-05
2,0.00014762
3,7.703e-05
4,5.986e-05
5,5.286e-05
6,3.274e-05
7,1.754e-05
8,1.076e-05
9,5.76e-06
10,3.52e-06
11,2.52e-06
12,1.36e-06
13,1.65e-06
14,5.5e-07
15,3.2e-07
16,2.2e-07
17,1.9e-07
18,1.3e-07
19,1e-07
20,6e-08
21,3e-08
22,1e-08
23,2e-08
24,2e-08
25,7.4e-09
26,6.1e-09
27,3.9e-09
28,2.7e-09
29,1.6e-09
30,1.4e-09
31,9.3e-10
32,5.6e-10
33,4.8e-10
34,5e-10
35,4.4e-10
36,2.8e-10
37,1.7e-10
38,1.3e-10
39,1e-10
40,6.5e-11
1,0.00034765
2,0.00044248
3,0.00034737
4,0.00030481
5,0.00020308
6,5.911e-05
7,3.951e-05
8,3.111e-05
9,2.671e-05
10,1.731e-05
11,6.86e-06
12,3.11e-06
13,2.61e-06
14,4.56e-06
15,1.79e-06
16,3.07e-06
17,2.19e-06
18,1.13e-06
19,2.1e-07
20,1.9e-07
21,1.4e-07
22,2.2e-07
23,9e-08
24,1.1e-07
25,8e-08
26,1.2e-07
27,6e-08
28,2e-08
29,2e-08
30,1e-08
31,3.1e-09
32,2.7e-09
33,1.8e-09
34,1.4e-09
35,1.2e-09
36,7.5e-10
37,3.8e-10
38,2.8e-10
39,2e-10
40,2.6e-10
41,1.6e-10
42,9.3e-11
1,0.00074109
2,0.00138337
3,0.00069036
4,0.00061071
5,0.00048215
6,0.00020713
7,9.92e-05
8,8.984e-05
9,4.142e-05
10,3.253e-05
11,2.21e-05
12,6.34e-06
13,1.534e-05
14,4.75e-06
15,3.42e-06
16,2.84e-06
17,2.22e-06
18,1.54e-06
19,7.4e-07
20,5.1e-07
21,3.1e-07
22,2e-07
23,2.4e-07
24,1.9e-07
25,1.1e-07
26,7e-08
27,5e-08
28,3e-08
29,2e-08
30,2e-08
31,1e-08
32,9.8e-09
33,7.3e-09
34,2e-08
35,6e-09
36,4.8e-09
37,3.8e-09
38,2.8e-09
39,2.2e-09
40,2.1e-09
41,1.5e-09
42,1.3e-09
43,1e-09
44,1.9e-09
45,1.7e-09
46,2.7e-10
47,5e-10
48,2.1e-10
49,9.6e-11
1,0.00114593
2,0.00162883
3,0.00109933
4,0.00094427
5,0.00059869
6,0.00015035
7,0.00012616
8,9.078e-05
9,5.166e-05
10,3.061e-05
11,1.698e-05
12,8.84e-06
13,7.1e-06
14,8.85e-06
15,5.81e-06
16,4.43e-06
17,2.38e-06
18,7.8e-07
19,6.1e-07
20,5.1e-07
21,3.4e-07
22,2.1e-07
23,1.5e-07
24,1.4e-07
25,1.6e-07
26,4e-08
27,4e-08
28,2e-08
29,1e-08
30,1e-08
31,8.2e-09
32,4.1e-09
33,2.6e-09
34,2.2e-09
35,2.8e-09
36,1.3e-09
37,9.1e-10
38,8.6e-10
39,5e-10
40,3.5e-10
41,2.4e-10
42,1.8e-10
43,1.5e-10
44,1e-10
45,1.5e-10
46,5.6e-11
1,0.00141974
2,0.00220384
3,0.00134013
4,0.00116005
5,0.00074091
6,0.00018542
7,0.00014809
8,0.00011379
9,5.805e-05
10,3.281e-05
11,2.358e-05
12,9.32e-06
13,1.706e-05
14,1.06e-05
15,2.574e-05
16,2.8e-06
17,7.39e-06
18,1.84e-06
19,7.4e-07
20,5.8e-07
21,3.4e-07
22,3.2e-07
23,1.4e-07
24,2.3e-07
25,5e-08
26,3e-08
27,3e-08
28,3e-08
29,1e-08
30,2e-08
31,1e-08
32,8.8e-09
33,1e-08
34,2.6e-09
35,1.6e-09
36,1.7e-09
37,1.1e-09
38,1e-09
39,6.9e-10
40,5.6e-10
41,4.1e-10
42,2.7e-10
43,2.3e-10
44,1.6e-10
45,1.1e-10
46,9.5e-11
1,0.00302699
2,0.00326623
3,0.00314938
4,0.00260883
5,0.00165372
6,0.000459
7,0.00036927
8,0.00031406
9,0.00010131
10,5.645e-05
11,4.39e-05
12,1.875e-05
13,3.735e-05
14,1.706e-05
15,2.593e-05
16,1.983e-05
17,1.007e-05
18,2.13e-06
19,1.84e-06
20,1.21e-06
21,1.21e-06
22,5.7e-07
23,5.8e-07
24,2.5e-07
25,3.5e-07
26,2e-07
27,1.2e-07
28,5e-08
29,4e-08
30,3e-08
31,4e-08
32,2e-08
33,2e-08
34,4.1e-09
35,4e-09
36,5.4e-09
37,2.7e-09
38,1.1e-09
39,8.9e-10
40,6.8e-10
41,4.3e-10
42,3.6e-10
43,2.9e-10
44,1.8e-10
45,1.3e-10
46,2e-10
47,9.8e-11
1,0.00079451
2,0.00089484
3,0.00086928
4,0.00070148
5,0.00047953
6,0.00013177
7,8.775e-05
8,7.674e-05
9,4.098e-05
10,3.054e-05
11,1.222e-05
12,8.63e-06
13,1.108e-05
14,1.024e-05
15,6.3e-06
16,4.33e-06
17,5.72e-06
18,2.16e-06
19,1.11e-06
20,4.7e-07
21,3.6e-07
22,2.8e-07
23,2.8e-07
24,4.5e-07
25,1.2e-07
26,9e-08
27,7e-08
28,4e-08
29,3e-08
30,2e-08
31,1e-08
32,9.3e-09
33,5.2e-09
34,2e-08
35,3e-09
36,2.9e-09
37,1.6e-09
38,1.3e-09
39,9.3e-10
40,6.6e-10
41,5.6e-10
42,3.7e-10
43,2.7e-10
44,5.7e-10
45,2.3e-10
46,1.4e-10
47,1.2e-10
1,0.00086278
2,0.00085231
3,0.00088873
4,0.00086845
5,0.00034553
6,0.00011743
7,0.00010525
8,9.384e-05
9,4.939e-05
10,2.548e-05
11,1.139e-05
12,8.46e-06
13,6.98e-06
14,1.571e-05
15,3.92e-06
16,2.86e-06
17,1.23e-06
18,5.3e-07
19,4.1e-07
20,3.7e-07
