     atom   39 type  2   force =    -0.00000498   -0.00001403    0.00001120
     atom   40 type  3   force =     0.00000142   -0.00000850    0.00000315
     atom   41 type  3   force =     0.00000192   -0.00000186   -0.00000168
     atom   42 type  3   force =     0.00000349   -0.00000810   -0.00000227
     atom   43 type  4   force =     0.00000010   -0.00000110    0.00000043
     atom   44 type  4   force =     0.00000272    0.00000013   -0.00000043
     atom   45 type  4   force =    -0.00000063    0.00000232   -0.00000121
     atom   46 type  4   force =     0.00000030    0.00000144   -0.00000006
     atom   47 type  4   force =     0.00000139   -0.00000093   -0.00000042
     atom   48 type  4   force =    -0.00000084   -0.00000017    0.00000019
     atom   49 type  4   force =     0.00000032   -0.00000036   -0.00000111
     atom   50 type  4   force =    -0.00000017   -0.00000103    0.00000077

     DFT-D3 dispersion contribution to forces:
     atom    1 type  1   force =    -0.00032606    0.00056192    0.00262423
     atom    2 type  1   force =    -0.00032130    0.00055970    0.00262403
     atom    3 type  1   force =    -0.00032458    0.00056241    0.00262525
     atom    4 type  1   force =    -0.00032458    0.00056664    0.00262234
     atom    5 type  1   force =    -0.00032715    0.00055991    0.00262386
     atom    6 type  1   force =    -0.00032855    0.00056267    0.00261283
     atom    7 type  1   force =    -0.00032230    0.00056172    0.00262455
     atom    8 type  1   force =    -0.00032444    0.00055676    0.00261795
     atom    9 type  1   force =    -0.00032005    0.00056257    0.00261507
     atom   10 type  1   force =     0.00031202   -0.00057052    0.00475522
     atom   11 type  1   force =     0.00028275   -0.00057442    0.00464866
     atom   12 type  1   force =     0.00028730   -0.00057120    0.00464159
     atom   13 type  1   force =     0.00028694   -0.00059017    0.00460193
     atom   14 type  1   force =     0.00030077   -0.00057108    0.00478552
     atom   15 type  1   force =     0.00030781   -0.00054048    0.00468983
     atom   16 type  1   force =     0.00030007   -0.00058778    0.00468899
     atom   17 type  1   force =     0.00033041   -0.00058368    0.00463378
     atom   18 type  1   force =     0.00031773   -0.00056425    0.00475070
     atom   19 type  1   force =    -0.00001086   -0.00025575   -0.00412911
     atom   20 type  1   force =     0.00038253    0.00019675   -0.00370772
     atom   21 type  1   force =    -0.00004977    0.00009004   -0.00385579
     atom   22 type  1   force =    -0.00006703    0.00011127   -0.00388755
     atom   23 type  1   force =     0.00002467   -0.00006752   -0.00413174
     atom   24 type  1   force =     0.00013537    0.00004627   -0.00390485
     atom   25 type  1   force =     0.00017240    0.00008305   -0.00388947
     atom   26 type  1   force =    -0.00031794    0.00021521   -0.00382404
     atom   27 type  1   force =     0.00007287   -0.00012830   -0.00416517
     atom   28 type  1   force =    -0.00057140   -0.00040175   -0.00257882
     atom   29 type  1   force =     0.00010662    0.00046566   -0.00195230
     atom   30 type  1   force =     0.00044406   -0.00019224   -0.00284203
     atom   31 type  1   force =     0.00053433   -0.00058601   -0.00215922
     atom   32 type  1   force =    -0.00088241   -0.00068992   -0.00290071
     atom   33 type  1   force =     0.00035850    0.00141974   -0.00254078
     atom   34 type  1   force =     0.00013839    0.00085858   -0.00189649
     atom   35 type  1   force =     0.00068165   -0.00029298   -0.00248384
     atom   36 type  1   force =    -0.00115461   -0.00041367   -0.00237544
     atom   37 type  2   force =     0.00033215   -0.00036379   -0.00011899
     atom   38 type  2   force =    -0.00006594   -0.00021509   -0.00043585
     atom   39 type  2   force =    -0.00022367   -0.00035459    0.00008228
     atom   40 type  3   force =    -0.00021669   -0.00012241   -0.00057897
     atom   41 type  3   force =     0.00007095    0.00046195   -0.00136164
     atom   42 type  3   force =    -0.00002390    0.00035956   -0.00017397
     atom   43 type  4   force =    -0.00019261    0.00009834   -0.00035829
     atom   44 type  4   force =     0.00031391    0.00007722   -0.00128402
     atom   45 type  4   force =     0.00001377    0.00020664   -0.00134527
     atom   46 type  4   force =     0.00002563    0.00031266   -0.00042209
     atom   47 type  4   force =     0.00034625    0.00007779   -0.00049568
     atom   48 type  4   force =    -0.00002251   -0.00010889   -0.00044914
     atom   49 type  4   force =    -0.00005346   -0.00063204   -0.00153642
     atom   50 type  4   force =    -0.00010804   -0.00015651   -0.00008319

