step,total_force_ry_bohr
94,0.19567
28,0.116672
27,0.067668
26,0.056289
27,0.054005
26,0.052181
28,0.052012
26,0.053371
31,0.058551
31,0.051442
30,0.042094
29,0.037492
27,0.032167
28,0.029277
25,0.025996
27,0.027107
25,0.022686
27,0.0199
30,0.020297
29,0.02137
30,0.02179
32,0.022388
28,0.022709
32,0.023784
29,0.021612
29,0.017811
29,0.015448
33,0.013862
32,0.012467
29,0.009776
31,0.007728
27,0.007009
30,0.006996
