step,conv_thr_ry
94,1e-07
28,6.23e-08
27,3.49e-08
26,3.21e-08
27,2.75e-08
26,1.92e-08
28,2.51e-08
26,2.23e-08
31,2.28e-08
31,1.68e-08
30,1.92e-08
29,1.39e-08
27,1.08e-08
28,1.02e-08
25,9.1e-09
27,7.8e-09
25,8.8e-09
27,8.3e-09
30,6.4e-09
29,6.7e-09
30,7.8e-09
32,8.1e-09
28,9.1e-09
32,9.5e-09
