reaction_coordinate,energy_ev,error_ev_ang
0,0,0.0578796518
0.2539176662,0.7636044504,2.621422547
0.4784452551,0.4060128571,0.6160145415
0.7199619434,0.2931123113,2.209920516
1,-0.1770957745,0.6067971645
